bill_billing_period_start,bill_billing_period_end,bill_payer_account_id,line_item_usage_start_date,line_item_usage_end_date,line_item_resource_id,product_product_name,product_region,line_item_usage_type,line_item_usage_amount,line_item_unblended_cost,line_item_blended_cost,credits_applied,line_item_net_cost,line_item_currency,line_item_account_id,linked_account_subsidiary,tags_team,tags_env
2024-10-01,2025-03-31,999999999999,2024-10-01,2024-10-02,arn:aws:ec2:region:instance/140007,AmazonEC2,ap-southeast-2,BoxUsage:t2.micro,73.096,1.4574,1.4574,0.0,1.4574,USD,111111111111,SubsidiaryA,Search,dev
2024-10-01,2025-03-31,999999999999,2024-10-01,2024-10-02,arn:aws:ec2:region:instance/241618,AmazonS3,ap-southeast-2,Request,22.663,0.1823,0.1823,0.0,0.1823,USD,111111111111,SubsidiaryA,DataPlatform,dev
2024-10-01,2025-03-31,999999999999,2024-10-01,2024-10-02,arn:aws:ec2:region:instance/495936,AmazonEKS,us-east-1,TimedStorage-ByteHrs,60.026,1.5519,1.5519,0.4656,1.0863,USD,111111111111,SubsidiaryA,Marketplace,prod
2024-10-01,2025-03-31,999999999999,2024-10-01,2024-10-02,arn:aws:ec2:region:instance/197270,AmazonRDS,us-east-1,TimedStorage-ByteHrs,20.289,0.1763,0.1763,0.0,0.1763,USD,111111111111,SubsidiaryA,Payments,prod
2024-10-01,2025-03-31,999999999999,2024-10-01,2024-10-02,arn:aws:ec2:region:instance/906139,AWSLambda,ap-southeast-2,BoxUsage:t2.micro,25.536,0.1939,0.1939,0.0,0.1939,USD,111111111111,SubsidiaryA,DataPlatform,staging
2024-10-01,2025-03-31,999999999999,2024-10-01,2024-10-02,arn:aws:ec2:region:instance/652678,AmazonCloudFront,ap-southeast-2,Request,16.543,0.1198,0.1198,0.0,0.1198,USD,111111111111,SubsidiaryA,DataPlatform,prod
2024-10-01,2025-03-31,999999999999,2024-10-01,2024-10-02,arn:aws:ec2:region:instance/973999,AmazonEC2,us-east-1,DataTransfer-Out-Bytes,37.278,1.0994,1.0994,0.0,1.0994,USD,222222222222,SubsidiaryB,Search,dev
2024-10-01,2025-03-31,999999999999,2024-10-01,2024-10-02,arn:aws:ec2:region:instance/776804,AmazonS3,ap-southeast-2,DataTransfer-Out-Bytes,19.392,0.1757,0.1757,0.0,0.1757,USD,222222222222,SubsidiaryB,Payments,dev
2024-10-01,2025-03-31,999999999999,2024-10-01,2024-10-02,arn:aws:ec2:region:instance/176850,AmazonEKS,ap-southeast-2,BoxUsage:t2.micro,54.998,1.3235,1.3235,0.0,1.3235,USD,222222222222,SubsidiaryB,Search,staging
2024-10-01,2025-03-31,999999999999,2024-10-01,2024-10-02,arn:aws:ec2:region:instance/971999,AmazonRDS,ap-southeast-2,Request,17.442,0.1064,0.1064,0.0,0.1064,USD,222222222222,SubsidiaryB,DataPlatform,prod
