invoice_month,usage_start_time,usage_end_time,project_id,service,sku,region,resource_name,labels.env,labels.team,labels.product,usage_amount,usage_unit,list_cost,credits,net_cost,currency,commitment_type,is_spot
2024-10,2024-10-01,2024-10-02,marketplace-prod,Compute Engine,N2 Standard Core,asia-southeast2,mar-pr-2679,prod,Marketplace,DataLake,47.209,hours,2.3605,0.3541,2.0064,USD,CUD,0
2024-10,2024-10-01,2024-10-02,marketplace-staging,Compute Engine,N2 Standard Core,asia-southeast2,mar-st-1488,staging,Marketplace,BuyerApp,17.539,hours,0.8769,0.0,0.8769,USD,,0
2024-10,2024-10-01,2024-10-02,marketplace-dev,Compute Engine,N2 Standard Core,us-central1,mar-de-1434,dev,Marketplace,DataLake,8.108,hours,0.4054,0.0,0.4054,USD,,0
2024-10,2024-10-01,2024-10-02,marketplace-prod,Compute Engine,N2 Standard RAM,us-central1,mar-pr-7873,prod,Marketplace,BuyerApp,19.567,hours,0.3913,0.137,0.25429999999999997,USD,CUD,1
2024-10,2024-10-01,2024-10-02,marketplace-staging,Compute Engine,N2 Standard RAM,asia-southeast2,mar-st-3615,staging,Marketplace,DataLake,6.93,hours,0.1386,0.0,0.1386,USD,,1
2024-10,2024-10-01,2024-10-02,marketplace-dev,Compute Engine,N2 Standard RAM,asia-southeast2,mar-de-4527,dev,Marketplace,SellerPortal,2.696,hours,0.0539,0.0,0.0539,USD,,0
2024-10,2024-10-01,2024-10-02,marketplace-prod,Compute Engine,Persistent Disk SSD,asia-southeast1,mar-pr-1711,prod,Marketplace,DataLake,25.851,hours,0.517,0.1809,0.3361,USD,CUD,1
2024-10,2024-10-01,2024-10-02,marketplace-staging,Compute Engine,Persistent Disk SSD,asia-southeast1,mar-st-2291,staging,Marketplace,DataLake,8.535,hours,0.1707,0.0,0.1707,USD,,0
2024-10,2024-10-01,2024-10-02,marketplace-dev,Compute Engine,Persistent Disk SSD,us-central1,mar-de-6925,dev,Marketplace,DataLake,6.73,hours,0.1346,0.0,0.1346,USD,,0
2024-10,2024-10-01,2024-10-02,marketplace-prod,Cloud Storage,Standard Regional Storage,asia-southeast2,mar-pr-4733,prod,Marketplace,SellerPortal,23.71,hours,0.3556,0.0,0.3556,USD,,0
2024-10,2024-10-01,2024-10-02,marketplace-staging,Cloud Storage,Standard Regional Storage,asia-southeast2,mar-st-2654,staging,Marketplace,SellerPortal,10.78,hours,0.1617,0.0,0.1617,USD,,0
2024-10,2024-10-01,2024-10-02,marketplace-dev,Cloud Storage,Standard Regional Storage,us-central1,mar-de-6977,dev,Marketplace,BuyerApp,3.164,hours,0.0475,0.0,0.0475,USD,,0
2024-10,2024-10-01,2024-10-02,marketplace-prod,Cloud Storage,Network Egress,us-central1,mar-pr-2169,prod,Marketplace,DataLake,13.902,hours,0.9732,0.0,0.9732,USD,,0
2024-10,2024-10-01,2024-10-02,marketplace-staging,Cloud Storage,Network Egress,us-central1,mar-st-5010,staging,Marketplace,BuyerApp,6.165,hours,0.4315,0.0,0.4315,USD,,0
